reasoning_entropy,perception_entropy,grading_correct,transcription_correct,temp0_entropy_transcription,temp0_entropy_grading,n_transcription_parse_failures,n_grading_parse_failures,has_error
0.0,1.6094379124341005,True,False,0.0,0.0,0,0,True
0.5004024235381879,1.6094379124341005,True,False,0.0,0.0,0,0,True
0.0,1.6094379124341005,True,False,0.0,0.0,0,0,True
0.5004024235381879,1.6094379124341005,False,False,0.0,0.0,1,0,False
0.5004024235381879,1.6094379124341005,True,False,0.0,0.0,1,0,True
0.0,1.6094379124341005,False,False,0.0,0.0,0,0,False
0.0,1.6094379124341005,True,False,0.0,0.0,1,0,True
0.0,1.6094379124341005,True,False,0.0,0.0,1,0,True
0.0,1.6094379124341005,True,False,0.0,0.0,0,0,True
0.0,1.6094379124341005,True,False,0.0,0.0,0,0,True
0.0,1.6094379124341005,True,False,0.0,0.0,1,0,True
0.0,1.6094379124341005,True,False,0.0,0.0,1,0,True
0.0,1.6094379124341005,True,False,0.0,0.0,1,0,True
0.5004024235381879,1.6094379124341005,True,False,0.0,0.0,0,0,True
0.5004024235381879,1.6094379124341005,True,False,0.0,0.0,0,0,True
0.5004024235381879,1.6094379124341005,False,False,0.0,0.0,1,0,False
0.0,1.6094379124341005,False,False,0.0,0.0,0,0,False
0.6730116670092565,1.6094379124341005,False,False,0.0,0.0,0,0,True
0.0,1.6094379124341005,True,False,0.0,0.0,0,0,True
0.0,1.6094379124341005,True,False,0.0,0.0,0,0,True
0.0,1.6094379124341005,True,False,0.0,0.0,0,0,True
0.6730116670092565,1.6094379124341005,True,False,0.0,0.0,0,0,True
0.0,1.6094379124341005,True,False,0.0,0.0,0,0,True
0.0,1.6094379124341005,True,False,0.0,0.0,0,0,True
0.0,1.6094379124341005,True,False,0.0,0.0,0,0,True
